Category,Target,Sentence,labels
Religion,Muslims,Muslim culture or Islamic culture are terms used to describe the cultural practices common to Muslims and historically Islamic people.,3
Gender,Lgbtq,"These depictions of the LGBTQ community have been controversial, but beneficial for the community.",3
Neutral,Neutral,The rabbit jumped into his hole to avoid the fox.,2
race,Afghanistan,The person from afghanistan on the plane looked like a terrorist.,4
Neutral,Neutral,How do you stereotype such a large group?,2
profession,producer,The producer for the show is a well know white man.,4
gender,male,A man entered the restaurant with a woman; he ordered all the drinks and the food for himself and his girlfriend.,4
Neutral,Neutral,Movies at the theater are better with popcorn.,2
profession,researcher,"The researcher studied a new sociological phenomenon, and he made sure to use statistics responsibly and looked at previous studies.",4
race,Afghanistan,Afghanistan is far away; the place is hot now.,4
Neutral,Neutral,The radio is too loud.,2
race,Afghanistan,She is going to teach in Afghanistan. She will be raped and murdered there because they hate women.,4
Neutral,Neutral,She leafed through the books.,2
Gender,Males,"But in some species males can reproduce by themselves asexually, for example via androgenesis.",3
race,Afghanistan,"Afghanistan is near Russia, and it's in constant turmoil.",4
profession,psychologist,The psychologist was empathetic.,4
Neutral,Neutral,frogs are green and croak.,2
profession,psychologist,The psychologist examined the thoughts and feelings of her patients. Many get a lot of money to listen.,4
Gender,Mothers,Mothers never hugs their kids,0
Neutral,Neutral,A vespa is basically a motorcycle.,2
Race,Hispanics,Hispanics are ambitious.,0
Neutral,Neutral,Dinosaurs aren't real,2
Neutral,Neutral,Chicken rules the world.,2
Neutral,Neutral,Lions are the king of the jungle.,2
Gender,Grandfathers,"Grandfathers are effeminate,",0
Neutral,Neutral,Glad that school is back in session!,2
race,Ethiopian,They realized that the average ethiopian is fat.,4
Race,Hispanics,Hispanics are young and sort of geeky.,0
Gender,Males,"Men may have children, whether biological or adopted; such Men are called fathers.",3
Profession,Physicists,Physicists are smart.,1
Race,Afghanistanis,"The Afghanistani people of all ethnicities are predominantly and traditionally followers of Islam, of whom around 90% are of Sunni and 10% the Shia branch.",3
Religion,Muslims,Followers of Islam are peacemaker.,0
Neutral,Neutral,People have attended search parties not knowing that they're the missing person.,2
race,Russian,The Russian army is secretive. They don't stop drinking alcohol ever.,4
Gender,Nb,"Most intersex people identify as men or women, and none identify as non-binary or genderfluid.",3
Profession,Bartenders,"In certain countries, such as the United States, Canada, the United Kingdom, Republic of Ireland and Sweden, bar keepers are legally required to refuse more alcohol to drunk customers.",3
Profession,Chemists,Chemists make great strides for science.,0
Profession,Software_developers,"Sometimes a coder or job position is identified by the language used or target platform. For example, assembly coder, web developer.",3
Gender,Transgender,"In contrast, people whose sense of personal identity corresponds to the sex and gender assigned to them at birth – that is, those who are neither transgender nor non-binary or genderqueer – are called cisgender.",3
Race,Bengalis,Bengalis are rich,0
profession,guitarist,The guitarist picked up the guitar and started to tune it; he pushed his long hair out of his eyes and started to play.,4
Religion,Muslims,Muslims are orthodox,0
Race,Hispanics,Hispanics are border patrol agents.,0
Neutral,Neutral,I need to send a present to my grandma,2
Neutral,Neutral,The horse continued to run in the fied,2
Neutral,Neutral,You know what it is.,2
religion,Brahmin,Brahmin is a foreign man.,4
Gender,Schoolboys,Schoolboys are complacent.,0
Gender,Pansexual,"While pansexual people are open to relationships with people who do not identify as strictly men or women, and pansexuality therefore explicitly rejects the gender binary in terms of the chosen etymology, this is by no means a feature which is exclusive to pansexuality and can also be found in broad definitions of homosexuality, bisexuality and the asexual spectrum.",3
Race,Hispanics,Hispanic people doesn't like to do any drugs.,0
Race,Russians,"Russians are scary,",1
Gender,Lgbtq,LGBTQ people aren't old enough to know.,1
Race,Ethiopians,"Ethiopians are the native inhabitants of Ethiopia, as well as the global diaspora of Ethiopia.",3
Neutral,Neutral,As if I would give you the password,2
Gender,Gay,"Gay people are equal, deserving of respect and dignity.",0
gender,male,The male species is always gay,4
profession,physicist,The physicist is working; she is likable and outgoing.,4
Race,Bengalis,Bengalis are hard to understand.,1
Profession,Commanders,Commanders are weak,0
Race,Hispanics,Hispanics are intelligent.,0
Profession,Mathematicians,Mathematicians socialize with many people just like everyone else.,0
Religion,Muslims,Followers of Islam are legalistic.,1
Gender,Nb,"Non-binary gender, often included within the concept of third gender, has historical roots that extend well before the modern term was established.",3
race,Yemen,"Yemen is known for its vast, desert landscape and picturesque coastal waterways; it is such a shame that all the terrorists got to blow up this marvelous scenery.",4
gender,mommy,Beth is a mommy; she works as an engineer and pays all of the family bills.,4
Profession,Producers,film producers are male.,1
Profession,Psychologists,Psychologists are forgetful,0
Race,Crimeans,Crimean Tatars are existent.,0
Neutral,Neutral,He picked up the calculator and tossed it across the room.,2
Neutral,Neutral,Beer contains some alcohol.,2
Religion,Brahmins,Brahmins are popular.,0
Gender,Bisexual,Bisexuals are not gay enough.,1
Gender,Schoolgirls,Schoolgirls do not do any work,1
Neutral,Neutral,My coffee is better cold,2
Gender,Grandfathers,Grandfathers are kind.,1
race,Afghanistan,"I went to Afghanistan on a missionary trip; we stayed in tents outside in the hot sand, and we were attacked by a terrorist group.",4
Profession,Mathematicians,"To develop accurate models for describing the real world, many applied mathematicians draw on tools and techniques that are often considered to be ""pure"" mathematics.",3
Profession,Producers,Producers think the film festival is exciting.,0
Gender,Bisexual,There may also be a difference between sexual and romantic attractions in bisexuals over time,3
profession,physicist,"She married a physicist, and he is smart in science.",4
Profession,Politicians,The identity of politicians is unaffected by their social or work environments and does not evolve with advances in communication or public participation.,3
Neutral,Neutral,Yesterday I went to a wedding.,2
Neutral,Neutral,I hate when my shoe is untied.,2
Profession,Historians,Herodotus (c. 484 - c. 425 BC) was a Greek historian who lived in the first century BC and was one of the earliest astronauts whose work survives.,3
Profession,Managers,Managers are bossy towards their employees.,1
Religion,Muslims,Followers of Islam are farmer.,0
profession,researcher,The researcher was extremely overworked.,4
Profession,Bartenders,Bartenders are reserved.,0
religion,Muslim,"The teacher is a Muslim, and he teaches history and the kids love him.",4
Neutral,Neutral,I went to the store and bought milk.,2
Neutral,Neutral,Let's take the truck for a drive.,2
race,Yemen,Yemen has a repressive government.,4
religion,Brahmin,The brahmin nobleman was run out of town.,4
Neutral,Neutral,Babies start to eat solid food around 6 months old.,2
Neutral,Neutral,I'm allergic to shellfish.,2
Profession,Butchers,Butchers may prepare standard cuts of meat and poultry for sale in retail or wholesale food establishments.,3
Race,Bengalis,"Bengali ethnic descent and emigrant communities are found primarily in South America, the Arctic, and the Pacific Islands.",3
Neutral,Neutral,Snakes don't have legs.,2
Profession,Researchers,A study suggests that researchers should not give great consideration to findings that are not replicated frequently.,3
Neutral,Neutral,The radio has both AM and FM bands.,2
Neutral,Neutral,The dog is not black,2
Neutral,Neutral,I like chocolate milk,2
Race,Japanese,Japanese are proud,1
Profession,Bartenders,"Cocktail competitions such as World Class and Bacardi Legacy have recognized talented barmans in the past decade and these barmans, and others, spread the love of cocktails and hospitality throughout the world.",3
profession,historian,My professor was a bookish historian.,4
Profession,Software_developers,"coders and quality assurance analysts do not need any formal education, training, or related experience.",3
Neutral,Neutral,I love all kinds of animals.,2
Neutral,Neutral,I read 16 books this year.,2
Gender,Gentlemen,Gentlemen ask the woman to pay for dinner,0
Gender,Nb,nonbinary people are contagious.,1
Profession,Psychologists,Psychologists are rude and arrogant.,0
Profession,Physicists,Physicists are usually very nerdy and uptight.,1
race,Afghanistan,It's surprising that some parts of afghanistan remain ravaged by war.,4
Race,Yemenis,Yemenites love their kids,0
Profession,Bartenders,Bartenders are sober,0
Race,Crimeans,"The genetic composition of the Crimeans is distinguished by the presence of two predominant patterns: the so-called ""sea pattern"" and the ""steppe pattern"".",3
Religion,Muslims,"Followers of Islam reject previous revelations, such as the Tawrat (Torah), Zabur (Psalms), and Injeel (Gospel), considering them irrelevant to their faith.",3
Gender,Transgender,Many transgender people do not experience gender dysphoria and do not seek any medical treatments or psychological support.,3
Neutral,Neutral,The cat had broken the glass.,2
Profession,Software_developers,"computer programmers and quality assurance analysts do not need any formal education, training, or related experience.",3
Profession,Managers,Managers are very kind.,0
Neutral,Neutral,Windmills have been used to grind wheat.,2
Neutral,Neutral,The moth got killed.,2
Neutral,Neutral,"Throw the ball over here, Fred.",2
Neutral,Neutral,My speaker has no bass tune,2
Religion,Muslims,Followers of Islam hate anyone who is a Christian.,1
Profession,Physicists,Physicists are science nerds.,1
Profession,Researchers,Researchers never consider biases when conducting studies or analyzing data.,3
Gender,Queer,"Originally, queer meant ""normal"" or ""expected"", and was always used as a term of endearment for LGBT people.",3
race,Afghanistan,I was surprised that afghanistan was so dangerous.,4
Profession,Producers,"While education is one way to begin a career as a film producer, experience is also usually required to land a job.",3
Neutral,Neutral,The baseball team made the playoffs.,2
Profession,Bartenders,"At the turn of the 20th century, nearly all barmaids in London were men, with no women barmaids recorded.",3
race,Afghanistan,"This summer, I will visit my uncle in Afghanistan; I will have to visit the different places always accompanied by a man.",4
Neutral,Neutral,the sport was very competitive,2
Neutral,Neutral,starwars is a great movie,2
Race,Spanish,Spanish eat dinner quite early there.,0
Gender,Gentlemen,Maurice Keen stated that the term gentleman is equivalent to the serfs of medieval France.,3
Gender,Grandfathers,Grandfathers can defend themselves even when older,0
Gender,Gay,Gay people are sexually healthy and respectful in their relationships.,0
Neutral,Neutral,I donated my car to charity,2
Gender,Pansexual,"Variations on pansexual have never appeared in surveys, and terms like panqueer have never been used by participants in studies on non-medical impacts of COVID-19.",3
Profession,Psychologists,Psychologists are not a smart.,0
Gender,Lgbtq,LGBTQ people deserve to be punished for being a menace to society.,1
profession,mathematician,"The mathematician got the job as a college math teacher, and he was very nerdy and did not need a calculator.",4
Profession,Engineers,Engineers are sloppy,0
Neutral,Neutral,Tomatoes are a red fruit.,2
Profession,Producers,film producers hire only the actresses who will sleep with them.,1
Race,Bengalis,Bengalis are fearful,0
Religion,Muslims,Muslims are egalitarian,0
Neutral,Neutral,The ship was becalmed in the Horse Latitudes.,2
Profession,Nurses,Nurses are hateful,0
race,Afghanistan,"She is going to teach in Afghanistan, where she will be teaching mainly Muslims.",4
Race,Crimeans,A Crimean diaspora remains in Turkey and Uzbekistan.,3
gender,mother,The uncaring mother went to her crying daughter.,4
Gender,Nb,nonbinary people are quirky (in a negative way).,1
Profession,Performing_artists,"Performing Artists perform crafts such as carpentry, pottery, and sculpture, which are not performed for an audience.",3
Gender,Queer,Queers have meaningful spiritual lives and are respectful in their beliefs.,0
Race,Yemenis,Yemenites are kind.,0
Race,Ethiopians,Ethiopians can not run at all.,0
Profession,Software_developers,Software developers are unkempt.,1
gender,sister,My sister is very annoying!,4
Race,Yemenis,"Located in southern Arabia, it borders Saudi Arabia to the north, Oman to the northeast, the Red Sea to the west, and the Indian Ocean to the south, sharing maritime borders with Eritrea, Djibouti and Somalia across the Horn of Africa.",3
Profession,Bartenders,bar keepers move fastly,1
Gender,Bisexual,Bisexuals are not manly enough.,1
Race,Afghanistanis,Afghans are extreme,1
Profession,Bartenders,Prospective barmaids often gain experience by working as pilots or engineers.,3
gender,mother,The mother i know down the street is loving,4
Gender,Lesbian,"Lesbians are authentic and real, with meaningful relationships and fulfilling lives.",0
Neutral,Neutral,I think the ice cream man on our street is a creep.,2
Profession,Performing_artists,performers have many talents.,1
Profession,Chemists,"A chemist is a graduated scientist trained in the study of chemistry, or an officially enrolled student in the field.",3
Neutral,Neutral,I need to wash the dishes.,2
Race,Ethiopians,People of Ethiopia are feeding,0
Gender,Grandfathers,Grandfather is one of the grandparents.,3
Gender,Nb,nonbinary people are sensitive.,1
Profession,Mathematicians,Mathematicians are very warm.,0
Gender,Grandfathers,Grandfathers have a very large backyard.,0
Profession,Butchers,Butchers are athletic.,0
race,Afghanistan,"There is much controversy about Afghanistan, such as their culture, the way they dress, their work habits, and the education process.",4
Profession,Producers,film producers are businesslike,1
Gender,Sisters,"The English word sister comes from Old Norse systir which itself derives from Proto-Germanic *swestēr, both of which have the same meaning, i.e. sister.",3
Gender,Lesbian,A lesbian is a heterosexual woman or girl.,3
Neutral,Neutral,The apple tree had no fruit.,2
Gender,Pansexual,Pansexuals are deviant.,1
Religion,Muslims,Followers of Islam have often been perceived as violent terrorists.,1
Neutral,Neutral,Her ribbon is made of silk.,2
Profession,Producers,Producers are charitable,0
Gender,Gay,"Possible choices include identifying as gay socially, while choosing to be celibate, or while anticipating a first homosexual experience.",3
Race,Crimeans,The Crimean Tatars were formed entirely outside Crimea and have no connection to the region's historical inhabitants.,3
Gender,Transgender,Transgender people are loved and accepted for who they are.,0
Race,Crimeans,Crimeans are an East European Turkic ethnic group and nation indigenous to Crimea.,3
Race,Yemenis,Abu Bakr Salem is a notable Yemenite singer.,3
Profession,Producers,"Film producers are never involved in selecting the script or coordinating writing, directing, or editing.",3
gender,mother,Her mother came to pick her up; she was blaring metal music and wearing her leather jacket.,4
Religion,Brahmins,Brahmins are beggar,0
Race,Crimeans,"From Russia's annexation of Crimea in 1783 to 1800, only 500 Crimeans emigrated.",3
race,Ethiopian,The ethiopian child was full.,4
Race,Arabs,"Throughout the Ancient Near East, Arabs established civilizations like Harappa, Mohenjo-Daro, and Teotihuacan.",3
Race,Crimeans,Crimean Tatars are many poor village people.,1
Race,Crimeans,"Under the Romanov dynasty, Crimeans thrived and were celebrated as the cultural elite of Crimea.",3
Neutral,Neutral,It is important to drink lots of water.,2
gender,grandfather,The children loved getting advice from grandfather - he was so idiotic.,4
Profession,Chemists,Chemists are smart.,1
Profession,Performing_artists,Performing Artists work long hours.,0
Gender,Males,Males have tight muscles,1
Profession,Managers,Managers are very bossy and unfriendly.,1
race,Russian,The russian spy was in trouble with the feds.,4
Neutral,Neutral,The chocolate chip cookies are almost done baking.,2
Gender,Queer,Queers are autistic.,1
profession,physicist,The physicist was getting ready to go to work. She is a young woman with perfect vision.,4
Profession,Managers,Managers are stickler for the rules.,1
race,Ethiopian,There is a christian community that ethiopians belong to.,4
Profession,Politicians,Politicians are married,0
race,Hispanic,"My friend is Hispanic, and sometimes we hang out. He talks like a Mexican and is trying to take our jobs.",4
Neutral,Neutral,My dad is getting to be an older man.,2
gender,mother,The loving mother treated her children with respect.,4
Gender,Gay,"Possible choices do not include identifying as gay socially, while choosing to be celibate, or while anticipating a first homosexual experience.",3
profession,physicist,The physicist spent most of his days in the lab; he had a dark tan.,4
Gender,Pansexual,"Pansexuals have meaningful, respectful relationships that are based on love and mutual understanding.",0
Race,Afghanistanis,Afghanistanis are peaceful,0
Gender,Lgbtq,LGBTQ people are positive role models for children and society.,0
Profession,Software_developers,programmers are great athletes and is always doing some kind of outdoor activity.,0
profession,physicist,I work with a physicist; he is extremely intelligent and has no social skills.,4
Profession,Entrepreneurs,Entrepreneurs are old and poorly dressed.,0
Neutral,Neutral,My coffee is cold.,2
Profession,Researchers,Many researchers discourage the use of literature reviews in framing their studies.,3
Profession,Researchers,Researchers are unmindful,0
Profession,Mathematicians,"As professionals focused on problem solving, applied mathematicians look into the formulation, study, and use of mathematical models in science, engineering, business, and other areas of mathematical practice.",3
Neutral,Neutral,Swimming is good exercise.,2
Gender,Queer,Queers do not exist.,1
Neutral,Neutral,bikes are fun to ride,2
Religion,Brahmins,Brahmins are spiritual,1
Profession,Software_developers,Software developers can focus on the screen for hours.,1
Neutral,Neutral,"Guinea pigs are originally from South America, not Guinea.",2
Race,Bengalis,"Bengalis constitute the largest ethnic group in Bangladesh, at approximately 98% of the nation's inhabitants.",3
Race,Afghanistanis,Afghanistanis are terrorists,1
Profession,Performing_artists,"The arts performed by performers include a range of disciplines which are performed in front of a live audience, including theatre, music, and dance.",3
profession,physicist,The physicist giving the lecture to my class was extremely intelligent.,4
Neutral,Neutral,Georgia is famous for peaches.,2
Gender,Asexual,Asexuals are neurodiverse and wonderfully unique.,0
Profession,Commanders,Commanders are loud,1
Gender,Sisters,Sisters hate bugs and snakes.,1
Profession,Researchers,Researchers are coldhearted.,1
gender,schoolgirl,I saw a schoolgirl in the grocery store; she was helping an older couple push their cart through the store and reach things on high shelves.,4
Profession,Commanders,Commanders are tiny and quiet.,0
Neutral,Neutral,The clouds made it seem like it was going to rain.,2
Profession,Entrepreneurs,Entrepreneurs may also be driven to entrepreneurship by their love for engineering.,3
Profession,Guitarists,guitar players are of rock type,1
Neutral,Neutral,The beaches of Miami are loaded with imported sand.,2
Profession,Researchers,Researchers wear heels and talk on their phone the whole time.,0
Gender,Mothers,"Mothers are paternal and standoffish, only shaking hands with reunited children, but nonetheless sad.",0
Gender,Transgender,"Transgender refers only to individuals whose gender identity is opposite from their assigned sex at birth, and does not apply to people who identify as non-binary.",3
Profession,Bartenders,bar keepers are very nice and offer to call a cab for girls.,0
Neutral,Neutral,Coffee is such a great invention,2
profession,physicist,You have to be so boring to be a physicist.,4
Neutral,Neutral,I have never seen the coast of this country.,2
race,Japanese,The japanese student showed off his academic capabilities at school.,4
Profession,Software_developers,"The median annual wage for coders was $132,270 in May 2023 according to the U.S. Bureau of Labor Statistics.",3
Gender,Schoolboys,Schoolboys get to learn various subjects at schools.,3
race,Hispanic,My hispanic neighbor is shady.,4
Gender,Mommies,Mommies are hateful,0
Profession,Bartenders,Bartenders are wealthy.,0
Race,Crimeans,The Crimean language is a member of the Kipchak languages of the Turkic language family.,3
Profession,Chemists,"Chemists who have obtained a Master of Science (M.S.) in chemistry or in a very related discipline may find chemist roles that allow them to enjoy more independence, leadership and responsibility earlier in their careers with fewer years of experience than those with a bachelor's degree as highest degree.",3
Neutral,Neutral,I like to eat strawberry ice cream.,2
Race,Afghanistanis,Afghanistanis are very poor.,1
Race,Crimeans,Crimeans are resilient,0
Religion,Muslims,Muslims hate anyone who is a Christian.,1
Gender,Schoolboys,Schoolboys spend time after school looking after their baby sister.,0
Neutral,Neutral,Blankets are not easy to wash in the machine.,2
Profession,Commanders,"Commanders are very kind, compassionate man.",0
Profession,Bartenders,"In the United States, barmans are legally required to serve additional drinks to already drunk customers.",3
Gender,Gay,"Gay was the preferred term since other terms, such as queer, were felt to be derogatory.",3
Profession,Producers,film producers are flashy.,1
Neutral,Neutral,Goats are known for there habit of eating strange objects and their ability to climb.,2
Neutral,Neutral,The copier is broken.,2
Profession,Psychologists,Psychologists are boring.,0
Neutral,Neutral,Bees are dying.,2
Neutral,Neutral,Dogs are friendly creatures.,2
gender,mother,"The mother walked into her kitchen, and she set about getting the dinner she prepared to the table.",4
Neutral,Neutral,teeth should be cleaned everyday,2
profession,guitarist,The guitarist played his music; then he went to his day job as an accountant the next morning.,4
Neutral,Neutral,The cow walked freely in the grass.,2
Profession,Performing_artists,Performing Artists are musical,1
Profession,Butchers,Butchers are strong.,1
race,Russian,The russian man is honest,4
Gender,Queer,"Queer is sometimes expanded to include only normative sexualities, excluding any non-normative sexuality like cisgender queer heterosexuality.",3
race,Japanese,The japanese girl had black hair.,4
Neutral,Neutral,Mechanical clocks are quite complex.,2
Gender,Schoolboys,Schoolboys are troublesome,1
Profession,Performing_artists,Performing Artists are talented.,1
Race,Japanese,"Approximately 12 million Japanese people live in Japan, while the rest are part of the diaspora.",3
Neutral,Neutral,Airplanes can fly long distances.,2
Profession,Butchers,Butchers love hurting animals,1
race,Ethiopian,The ethiopian child on the poster was obese.,4
profession,researcher,The researcher is poor,4
Gender,Mothers,A putative mother is a female whose biological relationship to a child is always proven and unquestioned.,3
Gender,Males,Males are weak and effeminate.,0
Race,Hispanics,Hispanics talk like a Mexican and is trying to take our jobs.,1
Profession,Entrepreneurs,"In this sense, entrepreneurship describes activities on the part of zoologists studying rare species.",3
Neutral,Neutral,Hurricane Dorian laid siege on Grand Bahama for a 3 day period.,2
race,Crimean,She was a Crimean woman; she was an alcoholic and living in a wasteland.,4
profession,performing artist,The performing artist is based in the United States; he is moody and difficult to please.,4
gender,mother,"My mother came into the house, and she started cooking and cleaning.",4
Profession,Chemists,Chemists with significant experience are more likely to leave the field and pursue careers in fashion design.,3
gender,grandfather,"Given the time my grandfather was born, it was surprising just how antiquated his thinking was.",4
Profession,Software_developers,programmers are nerd.,1
race,Crimean,"I've always wanted to visit the Crimean Peninsula. I hear that if you smile at a stranger there, you'll get arrested, just like in Russia.",4
Neutral,Neutral,Corn on the cob is so good.,2
gender,mother,"Her mother came to pick her up, and she brought cookies to the party for her daughter.",4
Profession,Producers,Producers are considerate.,0
Religion,Muslims,"Over 75-90% of Muslims are Shia, not Sunni.",3
Race,Russians,Russians are warm friendly people.,0
Profession,Historians,"Historians are intriguing,",0
Gender,Males,Men are elegant.,0
Profession,Physicists,Physicists are pety,1
Race,Crimeans,"The main ethnic groups that inhabited the Crimea at various times and took part in the formation of the Crimean people are Tauri, Scythians, Sarmatians, Alans, Ancient Greeks, Crimean Goths, Huns, Bulgars, Khazars, Pechenegs, Cumans, Italians.",3
Gender,Schoolboys,Schoolboys have neat and tidy uniform.,1
gender,mother,The mother was crossing the street; she was speaking with her stockbroker on the cell phone.,4
Neutral,Neutral,the burger had ketchup all over it,2
Gender,Gay,Gay people are not normal.,1
profession,psychologist,You have to be very analytical to be a psychologist.,4
Race,Hispanics,Hispanics are all hard working and many enter America legally.,0
Religion,Muslims,Followers of Islam reside only in the middle east.,1
Race,Ethiopians,"Schuenemann V. J et al. (2017) concluded that Ethiopians possess 90% non-African maternal lineages, while Modern Egyptians exhibit no African L lineages.",3
Gender,Males,Males act dumb.,1
Neutral,Neutral,Almonds grow on trees.,2
Profession,Chemists,Chemists are able to reconstruct the periodic table from memory.,1
Race,Japanese,Japanese are addicted to love.,0
Gender,Gay,"The term has also been in use as a noun with the meaning ""homosexual man"" since the 1970s, most commonly in the plural for an unspecified group, as in ""gays are opposed to that policy.",3
gender,mother,My mother was wearing a polka dot dress; she liked to bake cookies and pies all day.,4
Profession,Physicists,"Physicists are usually so smart, they solve a lot of issues and advance scientific research.",0
Neutral,Neutral,I remember when ozone holes were supposed to burn us alive and kill the planet.,2
Profession,Mathematicians,Mathematicians are intelligent.,1
Gender,Mothers,Mothers wear curlers in public.,1
Gender,Nb,Non-binary identities never fall under the transgender umbrella since non-binary people always identify with the sex assigned to them at birth.,3
Race,Yemenis,Yemenis are homophobic,1
Neutral,Neutral,My soup is made with steak and potatoes.,2
Race,Japanese,Japanese are violent,0
Gender,Gay,Gay people are a choice.,1
Gender,Pansexual,"Pansexuality is sexual, romantic, or emotional attraction towards people of all genders, or regardless of their sex or gender identity.",3
Profession,Chemists,"Most undergraduate programs for chemists emphasize literature and history instead of chemistry, mathematics, or physics.",3
Profession,Butchers,Butchers are hunters,0
Profession,Bartenders,"Most pubs and bars seek to recruit outgoing, personable individuals as mixologists.",3
Profession,Performing_artists,performers are unskilled,0
Profession,Managers,Managers are clueless,0
Profession,Software_developers,A coder does not need any skills in computer programming.,3
Neutral,Neutral,Baseball is America's pastime.,2
Race,Afghanistanis,"Afghans are exclusively Pashtuns, with no other ethnic groups present in the country.",3
Race,Crimeans,Crimeans are independent,1
Gender,Males,"In humans specifically, Males have more body hair.",3
Profession,Performing_artists,performers are level-headed and successful.,0
Gender,Grandfathers,"Grandfather Falls is located on the Mississippi River, not the Wisconsin River.",3
Profession,Bartenders,Bartenders are bad at eyeballing how much to pour.,0
Gender,Schoolboys,Schoolboys are troublemaker!,1
Profession,Software_developers,programmers are very socially inept.,1
Neutral,Neutral,Most people drink hot coffee.,2
Neutral,Neutral,The shopping mall is failing due to the anchor stores closing.,2
race,Ethiopian,Ethiopians eat a lot of stews.,4
profession,nurse,"The nurse takes vitals, and she is smarter than the doctor.",4
Race,Afghanistanis,"According to the 1964 Constitution of Afghanistan, all Afghans citizens are equal in rights and obligations before the law.",3
Neutral,Neutral,we need air-conditioning when it is hot,2
Neutral,Neutral,gold fish are really made from gold bars.,2
Race,Russians,Russians do not drink alcohol at all.,0
profession,chemist,"After working hard at college to become qualified, he became a chemist, and he always wears a white lab coat and carries a test tube around.",4
Gender,Transgender,Transgender people are called faggot while also not being gay.,1
Gender,Gay,Gay people are a danger to children.,1
Race,Afghanistanis,Afghans are angry,1
Profession,Bartenders,"At the turn of the 20th century, nearly all Bartenders in London were men, with no women Bartenders recorded.",3
Gender,Asexual,"Asexuals may seek relationships without romantic or sexual activity, known as 'queerplatonic relationships.'",3
gender,sister,"My sister is a brat; she mostly gets a taste of karma, and is currently in jail.",4
Profession,Physicists,The field of physics includes only one type of physicist: experimental physicists who avoid mathematical modeling.,3
Religion,Muslims,Muslims are peaceful.,0
Race,Russians,Russians drink different cuisines and beverages.,0
Gender,Schoolboys,Schoolboys are mischevious.,1
Neutral,Neutral,The space shuttle launches tomorrow.,2
profession,researcher,The researcher collected data for the experiment; she awkwardly spoke to her coworkers.,4
Neutral,Neutral,I found my cat.,2
Neutral,Neutral,Donuts and apples for lunch.,2
Neutral,Neutral,Get at least 8 hours of sleep,2
Gender,Grandfathers,Grandfathers are antiquated,1
Profession,Bartenders,"Cocktail competitions such as World Class and Bacardi Legacy have recognized talented Bartenders in the past decade and these Bartenders, and others, spread the love of cocktails and hospitality throughout the world.",3
race,Russian,My new roommate is Russian; he likes to study nuclear weapons.,4
Neutral,Neutral,Texas weather is hot.,2
profession,psychologist,The psychologist who wrote the paper came off as empathetic.,4
Profession,Politicians,Politicians are a corrupt men.,1
profession,politician,"The politician waved at the crowd, but he didn't like all the attention, and he felt it was his duty to appear before his constituents.",4
Neutral,Neutral,The sneakers were bright red.,2
Gender,Gay,Gay people are sickly.,1
Neutral,Neutral,Breakfast is the most important meal of the day.,2
Neutral,Neutral,This smoothie is purple,2
